carries,conquest_epoch
0,2593.0
1,2356.0
2,2907.0
3,2814.0
4,3038.0
0,1463.0
1,1899.0
2,3052.0
3,3114.0
4,3329.0
0,1782.0
1,1858.0
2,2876.0
3,3070.0
4,3139.0
0,847.0
1,2045.0
2,3040.0
3,3037.0
4,3246.0
0,1514.0
1,1945.0
2,2425.0
3,2719.0
4,2534.0
0,1371.0
1,2406.0
2,3196.0
3,2937.0
4,3195.0
0,1790.0
1,2287.0
2,2749.0
3,2973.0
4,3299.0
0,1991.0
1,1840.0
2,3116.0
3,3450.0
4,3989.0
0,832.0
1,1109.0
2,2265.0
3,2652.0
4,3245.0
0,833.0
1,2154.0
2,2601.0
3,2648.0
4,2966.0
0,2204.0
1,2178.0
2,2890.0
3,3171.0
4,3790.0
0,1875.0
1,2105.0
2,3645.0
3,3731.0
4,4083.0
0,2719.0
1,2575.0
2,4255.0
3,4238.0
4,4593.0
0,1401.0
1,2443.0
2,2808.0
3,3028.0
4,3343.0
0,628.0
1,1106.0
2,3127.0
3,3092.0
4,3577.0
0,2124.0
1,2160.0
2,2965.0
3,2985.0
4,3087.0
0,1963.0
1,2335.0
2,3073.0
3,3271.0
4,3600.0
0,1013.0
1,1984.0
2,1990.0
3,2211.0
4,2412.0
0,894.0
1,2186.0
2,2798.0
3,3083.0
4,3159.0
0,861.0
1,2014.0
2,1954.0
3,2349.0
4,3221.0
0,1833.0
1,2305.0
2,2628.0
3,2739.0
4,3117.0
0,1930.0
1,1924.0
2,2595.0
3,2812.0
4,3740.0
0,829.0
1,2137.0
2,2327.0
3,2704.0
4,2916.0
0,1095.0
1,2562.0
2,3421.0
3,3487.0
4,3770.0
0,2559.0
1,2309.0
2,2953.0
3,3183.0
4,3232.0
0,695.0
1,2062.0
2,2227.0
3,2499.0
4,3140.0
0,913.0
1,2318.0
2,3004.0
3,3152.0
4,3451.0
0,1504.0
1,2014.0
2,2578.0
3,2643.0
4,2902.0
0,2231.0
1,2454.0
2,2500.0
3,2949.0
4,3422.0
0,2048.0
1,2006.0
2,3000.0
3,2829.0
4,3496.0
0,1713.0
1,2999.0
2,2769.0
3,2922.0
4,4028.0
0,2629.0
1,2383.0
2,2628.0
3,3170.0
4,3853.0
0,530.0
1,2092.0
2,2749.0
3,2558.0
4,3059.0
0,710.0
1,2137.0
2,2455.0
3,2953.0
4,3322.0
0,1450.0
1,2253.0
2,2796.0
3,3030.0
4,3512.0
0,1651.0
1,2207.0
2,2578.0
3,2759.0
4,3490.0
0,944.0
1,2477.0
2,2783.0
3,2956.0
4,2928.0
0,1833.0
1,2529.0
2,2782.0
3,2841.0
4,2903.0
0,1636.0
1,2025.0
2,3137.0
3,3225.0
4,3479.0
0,1873.0
1,1691.0
2,2637.0
3,2772.0
4,3351.0
0,671.0
1,1525.0
2,2816.0
3,2860.0
4,3718.0
0,927.0
1,2329.0
2,2672.0
3,2507.0
4,2859.0
0,2027.0
1,2132.0
2,3156.0
3,3296.0
4,3323.0
0,2319.0
1,2125.0
2,2841.0
3,3280.0
4,3476.0
0,844.0
1,2259.0
2,2903.0
3,3042.0
4,3354.0
0,1717.0
1,2147.0
2,2464.0
3,2817.0
4,3088.0
0,1611.0
1,1994.0
2,2441.0
3,2697.0
4,3018.0
0,966.0
1,1913.0
2,2839.0
3,2787.0
4,3070.0
0,733.0
1,1724.0
2,3534.0
3,3075.0
4,3287.0
0,941.0
1,2284.0
2,3277.0
3,3506.0
4,3605.0
0,1207.0
1,2393.0
2,2491.0
3,2525.0
4,2840.0
0,1027.0
1,2071.0
2,3024.0
3,2816.0
4,2836.0
0,1166.0
1,1604.0
2,2591.0
3,2632.0
4,2995.0
0,2544.0
1,2686.0
2,3584.0
3,3352.0
4,3836.0
0,823.0
1,2231.0
2,3026.0
3,3276.0
4,3671.0
0,897.0
1,1581.0
2,2428.0
3,2696.0
4,3096.0
0,1713.0
1,1620.0
2,2612.0
3,2800.0
4,3795.0
0,1176.0
1,2289.0
2,3186.0
3,3621.0
4,3284.0
0,2339.0
1,2400.0
2,2143.0
3,2308.0
4,2601.0
0,952.0
1,2387.0
2,2796.0
3,2755.0
4,3007.0
0,1781.0
1,2793.0
2,3081.0
3,3514.0
4,3748.0
0,1954.0
1,2507.0
2,2813.0
3,3175.0
4,4107.0
0,972.0
1,2211.0
2,3008.0
3,2998.0
4,3278.0
0,749.0
1,2095.0
2,2225.0
3,2675.0
4,2392.0
0,855.0
1,2802.0
2,2936.0
3,3713.0
4,4007.0
0,961.0
1,2145.0
2,2884.0
3,2824.0
4,2974.0
0,1767.0
1,2167.0
2,2065.0
3,2419.0
4,2607.0
0,2555.0
1,2465.0
2,3744.0
3,3688.0
4,4130.0
0,2000.0
1,2363.0
2,3507.0
3,3228.0
4,3604.0
0,1337.0
1,2683.0
2,2656.0
3,2764.0
4,3013.0
0,1569.0
1,1859.0
2,2969.0
3,3293.0
4,3830.0
0,1997.0
1,1913.0
2,2924.0
3,3026.0
4,3462.0
0,2114.0
1,2389.0
2,2736.0
3,2887.0
4,3235.0
0,653.0
1,2071.0
2,2267.0
3,2615.0
4,3598.0
0,658.0
1,2460.0
2,2232.0
3,2630.0
4,3498.0
0,884.0
1,2018.0
2,2336.0
3,2342.0
4,2715.0
0,936.0
1,2287.0
2,3288.0
3,3236.0
4,3606.0
0,2374.0
1,2334.0
2,3456.0
3,3389.0
4,3982.0
0,2410.0
1,2289.0
2,2899.0
3,3101.0
4,3328.0
0,919.0
1,2851.0
2,3123.0
3,2944.0
4,3408.0
0,2129.0
1,2212.0
2,2667.0
3,2817.0
4,2933.0
0,2791.0
1,2450.0
2,2319.0
3,2519.0
4,2739.0
0,2588.0
1,1650.0
2,3378.0
3,3480.0
4,3805.0
0,1769.0
1,1774.0
2,2745.0
3,3060.0
4,3155.0
0,1693.0
1,3068.0
2,2718.0
3,3215.0
4,3255.0
0,1814.0
1,2455.0
2,3153.0
3,3145.0
4,3472.0
0,834.0
1,1621.0
2,3402.0
3,3446.0
4,3790.0
0,647.0
1,2123.0
2,3385.0
3,3490.0
4,3776.0
0,1947.0
1,2479.0
2,3662.0
3,3413.0
4,4013.0
0,2174.0
1,2153.0
2,3235.0
3,3159.0
4,3538.0
0,943.0
1,2302.0
2,2607.0
3,2766.0
4,3292.0
0,2181.0
1,2263.0
2,3654.0
3,4010.0
4,4405.0
0,890.0
1,2041.0
2,2487.0
3,2553.0
4,2855.0
0,1447.0
1,1901.0
2,2782.0
3,2984.0
4,3548.0
0,3058.0
1,2345.0
2,3448.0
3,4072.0
4,4255.0
0,2552.0
1,2380.0
2,3291.0
3,3472.0
4,4035.0
0,1041.0
1,2492.0
2,2812.0
3,2752.0
4,3360.0
0,1315.0
1,2241.0
2,2514.0
3,2629.0
4,2821.0
0,1010.0
1,2289.0
2,2300.0
3,2819.0
4,2841.0
0,2089.0
1,2432.0
2,2833.0
3,2845.0
4,3071.0
