carries,conquest_epoch
Add,3038.0
Subtract,2854.0
Multiply,5676.0
Divide,2439.0
Modulo,4556.0
Add,3329.0
Subtract,2439.0
Multiply,6332.0
Divide,2395.0
Modulo,4734.0
Add,3139.0
Subtract,2998.0
Multiply,6176.0
Divide,2515.0
Modulo,4458.0
Add,3246.0
Subtract,2326.0
Multiply,6160.0
Divide,2624.0
Modulo,4690.0
Add,2719.0
Subtract,2600.0
Multiply,6449.0
Divide,2393.0
Modulo,4660.0
Add,3205.0
Subtract,2646.0
Multiply,5318.0
Divide,2341.0
Modulo,4929.0
Add,3299.0
Subtract,2822.0
Multiply,5427.0
Divide,2482.0
Modulo,4652.0
Add,3989.0
Subtract,3190.0
Multiply,6792.0
Divide,2381.0
Modulo,5050.0
Add,3245.0
Subtract,2593.0
Multiply,6053.0
Divide,2139.0
Modulo,4955.0
Add,2966.0
Subtract,2662.0
Multiply,6366.0
Divide,2532.0
Modulo,4880.0
Add,3790.0
Subtract,2754.0
Multiply,6273.0
Divide,2349.0
Modulo,4504.0
Add,4083.0
Subtract,3336.0
Multiply,5818.0
Divide,2340.0
Modulo,4303.0
Add,4593.0
Subtract,2709.0
Multiply,5487.0
Divide,2547.0
Modulo,4807.0
Add,3343.0
Subtract,2991.0
Multiply,5959.0
Divide,2218.0
Modulo,4568.0
Add,3577.0
Subtract,2704.0
Multiply,6651.0
Divide,2374.0
Modulo,4929.0
Add,3087.0
Subtract,2470.0
Multiply,6233.0
Divide,2356.0
Modulo,4455.0
Add,3600.0
Subtract,2658.0
Multiply,5813.0
Divide,2604.0
Modulo,4841.0
Add,2412.0
Subtract,2498.0
Multiply,5987.0
Divide,2432.0
Modulo,4786.0
Add,3159.0
Subtract,2586.0
Multiply,5939.0
Divide,2325.0
Modulo,5092.0
Add,3221.0
Subtract,3124.0
Multiply,5232.0
Divide,2458.0
Modulo,4915.0
Add,3117.0
Subtract,2844.0
Multiply,6294.0
Divide,2497.0
Modulo,4664.0
Add,3740.0
Subtract,2744.0
Multiply,5855.0
Divide,2358.0
Modulo,4836.0
Add,2916.0
Subtract,3195.0
Multiply,6696.0
Divide,2397.0
Modulo,4892.0
Add,3770.0
Subtract,2838.0
Multiply,6052.0
Divide,2278.0
Modulo,4698.0
Add,3232.0
Subtract,2272.0
Multiply,6181.0
Divide,2455.0
Modulo,4411.0
Add,3140.0
Subtract,2819.0
Multiply,5453.0
Divide,2492.0
Modulo,4449.0
Add,3451.0
Subtract,2716.0
Multiply,6132.0
Divide,2454.0
Modulo,4358.0
Add,2902.0
Subtract,2964.0
Multiply,5946.0
Divide,2390.0
Modulo,4881.0
Add,3422.0
Subtract,2968.0
Multiply,5574.0
Divide,2521.0
Modulo,4594.0
Add,3496.0
Subtract,2963.0
Multiply,5974.0
Divide,2271.0
Modulo,4711.0
Add,4028.0
Subtract,2861.0
Multiply,6151.0
Divide,2358.0
Modulo,4669.0
Add,3853.0
Subtract,3109.0
Multiply,5953.0
Divide,2399.0
Modulo,4378.0
Add,3059.0
Subtract,3068.0
Multiply,6882.0
Divide,2417.0
Modulo,4554.0
Add,3322.0
Subtract,2221.0
Multiply,5792.0
Divide,2385.0
Modulo,4359.0
Add,3512.0
Subtract,2997.0
Multiply,7009.0
Divide,2389.0
Modulo,4824.0
Add,3490.0
Subtract,2528.0
Multiply,6034.0
Divide,2415.0
Modulo,5312.0
Add,2956.0
Subtract,2452.0
Multiply,6478.0
Divide,2436.0
Modulo,4700.0
Add,2903.0
Subtract,2997.0
Multiply,6811.0
Divide,2567.0
Modulo,4833.0
Add,3664.0
Subtract,2953.0
Multiply,6643.0
Divide,2263.0
Modulo,4628.0
Add,3351.0
Subtract,2643.0
Multiply,5706.0
Divide,2400.0
Modulo,4799.0
Add,3718.0
Subtract,3070.0
Multiply,6697.0
Divide,2429.0
Modulo,4030.0
Add,2859.0
Subtract,2853.0
Multiply,6184.0
Divide,2518.0
Modulo,4538.0
Add,3323.0
Subtract,2957.0
Multiply,6794.0
Divide,2372.0
Modulo,4577.0
Add,3476.0
Subtract,2594.0
Multiply,6375.0
Divide,2379.0
Modulo,4562.0
Add,3354.0
Subtract,3054.0
Multiply,6730.0
Divide,2536.0
Modulo,4286.0
Add,3088.0
Subtract,3041.0
Multiply,7324.0
Divide,2487.0
Modulo,4536.0
Add,3018.0
Subtract,2714.0
Multiply,6590.0
Divide,2317.0
Modulo,4400.0
Add,3070.0
Subtract,2513.0
Multiply,6386.0
Divide,2433.0
Modulo,4288.0
Add,3534.0
Subtract,2483.0
Multiply,5724.0
Divide,2521.0
Modulo,4068.0
Add,3605.0
Subtract,2846.0
Multiply,5761.0
Divide,2546.0
Modulo,4876.0
Add,2840.0
Subtract,2760.0
Multiply,6680.0
Divide,2349.0
Modulo,4857.0
Add,3024.0
Subtract,2679.0
Multiply,6048.0
Divide,2071.0
Modulo,4769.0
Add,2995.0
Subtract,3052.0
Multiply,5882.0
Divide,2496.0
Modulo,4145.0
Add,3836.0
Subtract,2712.0
Multiply,5864.0
Divide,2550.0
Modulo,4531.0
Add,3671.0
Subtract,2683.0
Multiply,5546.0
Divide,2488.0
Modulo,4583.0
Add,3096.0
Subtract,2705.0
Multiply,5838.0
Divide,2476.0
Modulo,4653.0
Add,3795.0
Subtract,2827.0
Multiply,6321.0
Divide,2362.0
Modulo,4678.0
Add,3621.0
Subtract,2486.0
Multiply,6094.0
Divide,2439.0
Modulo,4871.0
Add,2601.0
Subtract,2781.0
Multiply,6032.0
Divide,2344.0
Modulo,4495.0
Add,3007.0
Subtract,2624.0
Multiply,6252.0
Divide,2328.0
Modulo,4456.0
Add,3748.0
Subtract,2965.0
Multiply,6505.0
Divide,2355.0
Modulo,4318.0
Add,4107.0
Subtract,2661.0
Multiply,5897.0
Divide,2569.0
Modulo,4506.0
Add,3278.0
Subtract,3026.0
Multiply,5617.0
Divide,2476.0
Modulo,4655.0
Add,2675.0
Subtract,2429.0
Multiply,6960.0
Divide,2433.0
Modulo,4368.0
Add,4007.0
