Add,Subtract,Multiply,Divide,Modulo,Fixed_random,Random
3038.0,2854.0,5676.0,2439.0,4556.0,3.0,13640.0
3329.0,2439.0,6332.0,2395.0,4734.0,1.0,15644.0
3139.0,2998.0,6176.0,2515.0,4458.0,4.0,16985.0
3246.0,2326.0,6160.0,2624.0,4690.0,4.0,18968.0
2719.0,2600.0,6449.0,2393.0,4660.0,3.0,13834.0
3205.0,2646.0,5318.0,2341.0,4929.0,4.0,21807.0
3299.0,2822.0,5427.0,2482.0,4652.0,4.0,16995.0
3989.0,3190.0,6792.0,2381.0,5050.0,3.0,16324.0
3245.0,2593.0,6053.0,2139.0,4955.0,3.0,20333.0
2966.0,2662.0,6366.0,2532.0,4880.0,5.0,16031.0
3790.0,2754.0,6273.0,2349.0,4504.0,2.0,20022.0
4083.0,3336.0,5818.0,2340.0,4303.0,3.0,21558.0
4593.0,2709.0,5487.0,2547.0,4807.0,3.0,23200.0
3343.0,2991.0,5959.0,2218.0,4568.0,5.0,18600.0
3577.0,2704.0,6651.0,2374.0,4929.0,3.0,17888.0
3087.0,2470.0,6233.0,2356.0,4455.0,4.0,15154.0
3600.0,2658.0,5813.0,2604.0,4841.0,3.0,20179.0
2412.0,2498.0,5987.0,2432.0,4786.0,4.0,20443.0
3159.0,2586.0,5939.0,2325.0,5092.0,6.0,16311.0
3221.0,3124.0,5232.0,2458.0,4915.0,4.0,14928.0
3117.0,2844.0,6294.0,2497.0,4664.0,4.0,15386.0
3740.0,2744.0,5855.0,2358.0,4836.0,5.0,12349.0
2916.0,3195.0,6696.0,2397.0,4892.0,3.0,15966.0
3770.0,2838.0,6052.0,2278.0,4698.0,4.0,16216.0
3232.0,2272.0,6181.0,2455.0,4411.0,6.0,16293.0
3140.0,2819.0,5453.0,2492.0,4449.0,4.0,16563.0
3451.0,2716.0,6132.0,2454.0,4358.0,2.0,13381.0
2902.0,2964.0,5946.0,2390.0,4881.0,2.0,13757.0
3422.0,2968.0,5574.0,2521.0,4594.0,4.0,15390.0
3496.0,2963.0,5974.0,2271.0,4711.0,3.0,14310.0
4028.0,2861.0,6151.0,2358.0,4669.0,3.0,19007.0
3853.0,3109.0,5953.0,2399.0,4378.0,4.0,12113.0
3059.0,3068.0,6882.0,2417.0,4554.0,4.0,14353.0
3322.0,2221.0,5792.0,2385.0,4359.0,4.0,13138.0
3512.0,2997.0,7009.0,2389.0,4824.0,6.0,15572.0
3490.0,2528.0,6034.0,2415.0,5312.0,3.0,20147.0
2956.0,2452.0,6478.0,2436.0,4700.0,3.0,14181.0
2903.0,2997.0,6811.0,2567.0,4833.0,5.0,16156.0
3664.0,2953.0,6643.0,2263.0,4628.0,2.0,14202.0
3351.0,2643.0,5706.0,2400.0,4799.0,3.0,20402.0
3718.0,3070.0,6697.0,2429.0,4030.0,5.0,20582.0
2859.0,2853.0,6184.0,2518.0,4538.0,4.0,14077.0
3323.0,2957.0,6794.0,2372.0,4577.0,3.0,14910.0
3476.0,2594.0,6375.0,2379.0,4562.0,4.0,12760.0
3354.0,3054.0,6730.0,2536.0,4286.0,2.0,16165.0
3088.0,3041.0,7324.0,2487.0,4536.0,4.0,13333.0
3018.0,2714.0,6590.0,2317.0,4400.0,3.0,14080.0
3070.0,2513.0,6386.0,2433.0,4288.0,4.0,15207.0
3534.0,2483.0,5724.0,2521.0,4068.0,4.0,19515.0
3605.0,2846.0,5761.0,2546.0,4876.0,4.0,15416.0
2840.0,2760.0,6680.0,2349.0,4857.0,4.0,16794.0
3024.0,2679.0,6048.0,2071.0,4769.0,3.0,15988.0
2995.0,3052.0,5882.0,2496.0,4145.0,5.0,17257.0
3836.0,2712.0,5864.0,2550.0,4531.0,4.0,17996.0
3671.0,2683.0,5546.0,2488.0,4583.0,4.0,18488.0
3096.0,2705.0,5838.0,2476.0,4653.0,4.0,14182.0
3795.0,2827.0,6321.0,2362.0,4678.0,4.0,17957.0
3621.0,2486.0,6094.0,2439.0,4871.0,2.0,16856.0
2601.0,2781.0,6032.0,2344.0,4495.0,3.0,16643.0
3007.0,2624.0,6252.0,2328.0,4456.0,6.0,16003.0
3748.0,2965.0,6505.0,2355.0,4318.0,5.0,15175.0
4107.0,2661.0,5897.0,2569.0,4506.0,3.0,12765.0
3278.0,3026.0,5617.0,2476.0,4655.0,4.0,18348.0
2675.0,2429.0,6960.0,2433.0,4368.0,3.0,17061.0
4007.0,2511.0,6028.0,2434.0,5149.0,4.0,17547.0
2974.0,2564.0,5969.0,2624.0,4681.0,4.0,16038.0
2607.0,3381.0,6058.0,2281.0,4695.0,4.0,14656.0
4130.0,2720.0,5795.0,2462.0,4435.0,3.0,23432.0
3604.0,3307.0,5527.0,2472.0,4468.0,4.0,14140.0
3013.0,2925.0,6074.0,2425.0,4377.0,3.0,13602.0
3830.0,2686.0,5800.0,2433.0,4436.0,4.0,14077.0
3462.0,2505.0,5958.0,2286.0,4854.0,3.0,15990.0
3235.0,2776.0,5851.0,2421.0,4927.0,2.0,19440.0
3598.0,2904.0,5900.0,2174.0,4651.0,4.0,19909.0
3498.0,2474.0,6357.0,2374.0,4730.0,6.0,13874.0
2715.0,2568.0,6445.0,2507.0,4848.0,4.0,15576.0
