carries,conquest_epoch
0,2439.0
1,895.0
2,1992.0
3,1872.0
0,2395.0
1,968.0
2,2013.0
3,1620.0
0,2515.0
1,891.0
2,2357.0
3,1799.0
0,2624.0
1,908.0
2,2139.0
3,3.0
0,2393.0
1,964.0
2,2224.0
3,1866.0
0,2341.0
1,1019.0
2,1879.0
3,1633.0
0,2482.0
1,953.0
2,2105.0
3,1564.0
0,2381.0
1,971.0
2,1973.0
3,1915.0
0,2139.0
1,962.0
2,2035.0
3,1711.0
0,2532.0
1,1038.0
2,2188.0
3,1521.0
0,2349.0
1,947.0
2,2279.0
3,1706.0
0,2340.0
1,1258.0
2,2065.0
3,1794.0
0,2547.0
1,1681.0
2,2265.0
3,2139.0
0,2218.0
1,926.0
2,2053.0
3,1772.0
0,2374.0
1,916.0
2,2052.0
3,2.0
0,2356.0
1,944.0
2,2012.0
3,1666.0
0,2604.0
1,1009.0
2,2136.0
3,1840.0
0,2432.0
1,1089.0
2,2011.0
3,1691.0
0,2325.0
1,1023.0
2,1882.0
3,1933.0
0,2458.0
1,953.0
2,2172.0
3,1919.0
0,2497.0
1,934.0
2,2261.0
3,1496.0
0,2358.0
1,897.0
2,2025.0
3,1912.0
0,2397.0
1,1081.0
2,2214.0
3,1786.0
0,2278.0
1,907.0
2,2012.0
3,1700.0
0,2455.0
1,1143.0
2,1811.0
3,1888.0
0,2492.0
1,1191.0
2,2270.0
3,1651.0
0,2454.0
1,974.0
2,1852.0
3,1839.0
0,2390.0
1,958.0
2,2087.0
3,1835.0
0,2521.0
1,993.0
2,2208.0
3,1591.0
0,2271.0
1,972.0
2,1897.0
3,1594.0
0,2358.0
1,985.0
2,2126.0
3,1811.0
0,2399.0
1,1027.0
2,2308.0
3,1781.0
0,2417.0
1,942.0
2,1971.0
3,1875.0
0,2385.0
1,1039.0
2,2196.0
3,1801.0
0,2389.0
1,1111.0
2,2100.0
3,1747.0
0,2415.0
1,1543.0
2,2287.0
3,1853.0
0,2436.0
1,963.0
2,2102.0
3,1923.0
0,2567.0
1,1018.0
2,2042.0
3,1848.0
0,2223.0
1,876.0
2,2216.0
3,1747.0
0,2400.0
1,960.0
2,2066.0
3,1755.0
0,2429.0
1,949.0
2,2104.0
3,1621.0
0,2518.0
1,1083.0
2,1910.0
3,1793.0
0,2372.0
1,992.0
2,2294.0
3,1705.0
0,2379.0
1,1139.0
2,2168.0
3,1861.0
0,2536.0
1,1045.0
2,2185.0
3,1787.0
0,2487.0
1,1032.0
2,2087.0
3,1654.0
0,2317.0
1,960.0
2,2140.0
3,1846.0
0,2433.0
1,923.0
2,2337.0
3,1858.0
0,2521.0
1,969.0
2,2201.0
3,1764.0
0,2546.0
1,1101.0
2,2315.0
3,2042.0
0,2349.0
1,1037.0
2,1988.0
3,2.0
0,2071.0
1,982.0
2,1925.0
3,1672.0
0,2496.0
1,839.0
2,2026.0
3,1915.0
0,2550.0
1,1207.0
2,2219.0
3,3.0
0,2488.0
1,1007.0
2,2126.0
3,1771.0
0,2428.0
1,1012.0
2,2476.0
3,2004.0
0,2362.0
1,1109.0
2,2033.0
3,1539.0
0,2439.0
1,1019.0
2,2116.0
3,1883.0
0,2344.0
1,971.0
2,2033.0
3,1655.0
0,2328.0
1,1010.0
2,2003.0
3,1753.0
0,2355.0
1,986.0
2,2127.0
3,1792.0
0,2569.0
1,1024.0
2,2438.0
3,1656.0
0,2476.0
1,1112.0
2,2122.0
3,1854.0
0,2433.0
1,1012.0
2,2091.0
3,2.0
0,2434.0
1,1037.0
2,2162.0
3,1997.0
0,2624.0
1,1010.0
2,2123.0
3,2.0
0,2281.0
1,873.0
2,2153.0
3,1511.0
0,2462.0
1,948.0
2,2107.0
3,1889.0
0,2472.0
1,999.0
2,2178.0
3,1828.0
0,2425.0
1,1003.0
2,2362.0
3,1834.0
0,2433.0
1,1057.0
2,2137.0
3,1690.0
0,2286.0
1,903.0
2,2103.0
3,1729.0
0,2421.0
1,981.0
2,2126.0
3,2.0
0,2174.0
1,918.0
2,2049.0
3,1671.0
0,2374.0
1,1018.0
2,1817.0
3,1680.0
0,2507.0
1,1009.0
2,2058.0
3,1969.0
0,2570.0
1,1019.0
2,2065.0
3,1802.0
0,2430.0
1,1039.0
2,2062.0
3,1767.0
0,2353.0
1,991.0
2,1993.0
3,1670.0
0,2267.0
1,991.0
2,1948.0
3,1605.0
0,2526.0
1,950.0
2,2312.0
3,1913.0
0,2290.0
1,940.0
2,1983.0
3,1501.0
0,2253.0
1,1054.0
2,2022.0
3,1831.0
0,2458.0
1,1013.0
2,2330.0
3,2.0
0,2403.0
1,951.0
2,1933.0
3,1605.0
0,2405.0
1,1030.0
2,2115.0
3,1748.0
0,2613.0
1,1223.0
2,2244.0
3,1936.0
0,2503.0
1,979.0
2,2115.0
3,1.0
0,2452.0
1,947.0
2,2250.0
3,1979.0
0,2252.0
1,1117.0
2,1922.0
3,1696.0
0,2473.0
1,1048.0
2,2185.0
3,1901.0
0,2403.0
1,964.0
2,2019.0
3,1771.0
0,2601.0
1,1124.0
2,2043.0
3,1758.0
0,2350.0
1,959.0
2,2073.0
3,1624.0
0,2333.0
1,943.0
2,2179.0
3,3.0
0,2451.0
1,986.0
2,2441.0
3,1809.0
0,2547.0
1,1000.0
2,2251.0
3,1690.0
0,2434.0
1,963.0
2,2087.0
3,4.0
0,2647.0
1,1055.0
2,2448.0
3,1960.0
0,2577.0
1,875.0
2,2162.0
3,1823.0
