carries,conquest_epoch
0,4556.0
1,4472.0
2,4164.0
3,3945.0
0,4086.0
1,4734.0
2,3514.0
3,4144.0
0,4458.0
1,4425.0
2,4283.0
3,3590.0
0,4259.0
1,4686.0
2,4674.0
3,4399.0
0,4223.0
1,4660.0
2,4027.0
3,3644.0
0,4309.0
1,4929.0
2,4226.0
3,3763.0
0,4244.0
1,4652.0
2,3975.0
3,3686.0
0,4390.0
1,5050.0
2,4214.0
3,3779.0
0,4772.0
1,4634.0
2,4955.0
3,3321.0
0,4880.0
1,4628.0
2,3473.0
3,3569.0
0,4494.0
1,4504.0
2,4294.0
3,3456.0
0,3949.0
1,4303.0
2,3327.0
3,2838.0
0,4807.0
1,4469.0
2,4138.0
3,3811.0
0,4284.0
1,4568.0
2,3507.0
3,3572.0
0,4105.0
1,4929.0
2,3907.0
3,3846.0
0,4455.0
1,4231.0
2,3595.0
3,3617.0
0,4812.0
1,4790.0
2,4513.0
3,3284.0
0,4289.0
1,4786.0
2,4116.0
3,4006.0
0,4405.0
1,5092.0
2,4257.0
3,3915.0
0,4349.0
1,4915.0
2,3963.0
3,3742.0
0,4664.0
1,4556.0
2,3502.0
3,3450.0
0,4836.0
1,4572.0
2,3652.0
3,3651.0
0,4892.0
1,4034.0
2,3844.0
3,3347.0
0,4347.0
1,4698.0
2,4547.0
3,4116.0
0,4132.0
1,4411.0
2,3640.0
3,3723.0
0,4056.0
1,4449.0
2,3526.0
3,3284.0
0,4218.0
1,4358.0
2,4042.0
3,2901.0
0,4599.0
1,4881.0
2,4306.0
3,3993.0
0,4482.0
1,4594.0
2,3761.0
3,3777.0
0,4711.0
1,4280.0
2,3572.0
3,3656.0
0,4572.0
1,4669.0
2,3365.0
3,3692.0
0,4129.0
1,4267.0
2,4378.0
3,3764.0
0,4554.0
1,3951.0
2,3472.0
3,3255.0
0,4358.0
1,4359.0
2,3703.0
3,3656.0
0,4096.0
1,4824.0
2,3950.0
3,3768.0
0,4872.0
1,5312.0
2,4695.0
3,4341.0
0,4415.0
