carries,conquest_epoch
0,4785.0
1,5650.0
2,5635.0
3,5468.0
4,5669.0
5,4220.0
6,3262.0
8,2676.0
12,1579.0
0,3800.0
1,5617.0
2,5112.0
3,4930.0
4,6332.0
5,4047.0
6,2600.0
8,1606.0
12,1309.0
0,4135.0
1,5826.0
2,5739.0
3,4942.0
4,6176.0
5,5427.0
6,3721.0
8,1745.0
12,1239.0
0,4611.0
1,6160.0
2,5334.0
3,4426.0
4,5767.0
5,4450.0
6,2980.0
8,1518.0
12,1142.0
0,5539.0
1,5835.0
2,5529.0
3,5870.0
4,6449.0
5,4999.0
6,3841.0
8,1765.0
12,1387.0
0,4399.0
1,5068.0
2,5053.0
3,4438.0
4,5318.0
5,4787.0
6,4722.0
8,2322.0
12,1190.0
0,3923.0
1,5427.0
2,5199.0
3,4797.0
4,4843.0
5,4385.0
6,4033.0
8,2389.0
12,1383.0
0,4809.0
1,5103.0
2,5771.0
3,5228.0
4,6792.0
5,4660.0
6,4715.0
8,3905.0
12,1362.0
0,4990.0
1,6053.0
2,5582.0
3,4987.0
4,5677.0
5,4550.0
6,3756.0
8,5376.0
12,1255.0
0,4557.0
1,5637.0
2,5562.0
3,5463.0
4,6366.0
5,4314.0
6,3413.0
8,3194.0
12,1534.0
0,4266.0
1,5086.0
2,5056.0
3,4486.0
4,6273.0
5,4585.0
6,4000.0
8,3979.0
12,1185.0
0,3892.0
1,5818.0
2,5162.0
3,5180.0
4,5710.0
5,4225.0
6,4047.0
8,2830.0
12,1193.0
0,4739.0
1,5017.0
2,4658.0
3,5487.0
4,5359.0
5,4451.0
6,3723.0
8,1917.0
12,4027.0
0,5039.0
1,5306.0
2,5229.0
3,5404.0
4,5959.0
5,4775.0
6,4146.0
8,1531.0
12,1206.0
0,4972.0
1,6478.0
2,5595.0
3,4768.0
4,6651.0
5,5301.0
6,4580.0
8,1392.0
12,1290.0
0,4130.0
1,5977.0
2,4995.0
3,5334.0
4,6233.0
5,4757.0
6,3774.0
8,1596.0
12,1320.0
0,3986.0
1,5210.0
2,5256.0
3,4575.0
4,5813.0
5,5057.0
6,3066.0
8,3334.0
12,1300.0
0,4973.0
1,4982.0
2,5451.0
3,4649.0
4,5987.0
5,4949.0
6,4312.0
8,1631.0
12,1355.0
0,3738.0
1,5939.0
2,5446.0
3,4929.0
4,5545.0
5,4464.0
6,3224.0
8,1860.0
12,1258.0
0,4164.0
1,4901.0
2,4987.0
3,4452.0
4,5232.0
5,4760.0
6,3109.0
8,1529.0
12,1035.0
0,3777.0
1,5822.0
2,5538.0
3,4036.0
4,6294.0
5,4685.0
6,3814.0
8,4388.0
12,1234.0
0,3753.0
1,5507.0
2,5206.0
3,4707.0
4,5855.0
5,4552.0
6,4825.0
8,3524.0
12,1361.0
0,3671.0
1,5246.0
2,5704.0
3,4275.0
4,6696.0
5,5312.0
6,3902.0
8,3544.0
12,1427.0
0,3924.0
1,4458.0
2,5155.0
3,4485.0
4,6052.0
5,3661.0
6,3390.0
8,4238.0
12,1359.0
0,4491.0
1,4983.0
2,5727.0
3,5120.0
4,6181.0
5,4406.0
6,4784.0
8,4547.0
12,1213.0
0,4161.0
1,5126.0
2,4700.0
3,4810.0
4,5453.0
5,4280.0
6,3619.0
8,1900.0
12,1095.0
0,4064.0
1,6012.0
2,4778.0
3,6132.0
4,5518.0
5,4476.0
6,3894.0
8,2741.0
12,1406.0
0,5606.0
1,5946.0
2,5419.0
3,4866.0
4,5659.0
5,4392.0
6,3260.0
8,1571.0
12,5451.0
0,4461.0
1,5390.0
2,5398.0
3,4439.0
4,5574.0
5,4698.0
6,3227.0
8,1589.0
12,1276.0
0,3967.0
1,5795.0
2,5624.0
3,5538.0
4,5974.0
5,5299.0
6,4246.0
8,5353.0
12,1296.0
0,5085.0
1,5748.0
2,5519.0
3,4604.0
4,6151.0
5,3978.0
6,4407.0
8,1547.0
12,1217.0
0,3579.0
1,5338.0
2,4798.0
3,5939.0
4,5934.0
5,3914.0
6,4180.0
8,1807.0
12,1309.0
0,4927.0
1,6124.0
2,5201.0
3,4484.0
4,6882.0
5,4295.0
6,3652.0
8,3801.0
12,1430.0
0,4670.0
1,5792.0
2,5204.0
3,4527.0
4,5701.0
5,5718.0
6,3859.0
8,3447.0
12,1550.0
0,5431.0
1,7009.0
2,5948.0
3,4927.0
4,6651.0
5,4770.0
6,3864.0
8,1638.0
12,1378.0
0,4284.0
1,6026.0
2,5744.0
3,4743.0
4,6034.0
5,4272.0
6,3953.0
8,1669.0
12,1420.0
0,5071.0
1,5398.0
2,4758.0
3,4927.0
4,6478.0
5,4186.0
6,3000.0
8,2523.0
12,1332.0
0,5415.0
1,5638.0
2,6242.0
3,4836.0
4,6811.0
5,4477.0
6,4106.0
8,2011.0
12,3870.0
0,3381.0
1,6049.0
2,5626.0
3,5118.0
4,6643.0
5,4771.0
6,4627.0
8,1557.0
12,1234.0
0,4256.0
1,5706.0
2,4886.0
3,4167.0
4,5543.0
5,4650.0
6,3394.0
8,1816.0
12,1247.0
0,5043.0
1,6099.0
2,5523.0
3,5489.0
4,6697.0
5,4186.0
6,3499.0
8,1720.0
12,1259.0
0,3690.0
1,5131.0
2,5086.0
3,4873.0
4,6184.0
5,4428.0
6,3327.0
8,3742.0
12,1373.0
0,4504.0
1,5683.0
2,5586.0
3,5431.0
4,6794.0
5,3814.0
6,3652.0
8,1557.0
12,1344.0
0,4313.0
1,5653.0
2,5267.0
3,4501.0
4,6375.0
5,4443.0
6,4293.0
8,1760.0
12,1154.0
0,5971.0
1,5698.0
2,5824.0
3,5007.0
4,6730.0
5,5731.0
6,6633.0
8,1598.0
12,1352.0
0,3533.0
1,5566.0
2,5574.0
3,4791.0
4,7324.0
5,5069.0
6,3858.0
8,4094.0
12,1199.0
0,4453.0
1,6252.0
2,5766.0
3,4313.0
4,6590.0
5,4273.0
6,3051.0
8,1603.0
12,1174.0
0,6292.0
1,6386.0
2,6011.0
3,4925.0
4,6268.0
5,5376.0
6,4705.0
8,1552.0
12,1491.0
0,4489.0
1,5724.0
2,4616.0
3,4594.0
4,5372.0
5,4678.0
6,3501.0
8,2780.0
12,3593.0
0,5192.0
1,5710.0
2,5375.0
3,4962.0
4,5761.0
5,4485.0
6,2328.0
8,3694.0
12,1180.0
0,5160.0
1,5759.0
2,5275.0
3,5344.0
4,6680.0
5,5880.0
6,4976.0
8,1848.0
12,1170.0
0,4610.0
1,5293.0
2,5319.0
3,5343.0
4,6048.0
5,5161.0
6,3913.0
8,1897.0
12,1132.0
0,5750.0
1,5495.0
2,5320.0
3,5528.0
4,5882.0
5,5056.0
6,4801.0
8,1850.0
12,1081.0
0,4021.0
1,5077.0
2,5322.0
3,4634.0
4,5864.0
5,5118.0
6,4720.0
8,4499.0
12,1225.0
0,4422.0
1,5546.0
2,5242.0
3,5015.0
4,5363.0
5,5148.0
6,3297.0
8,2162.0
12,1199.0
0,3643.0
1,5581.0
2,5167.0
3,5838.0
4,5642.0
5,5040.0
6,4118.0
8,3567.0
12,1110.0
0,4936.0
1,5709.0
2,5437.0
3,5016.0
4,6321.0
5,5767.0
6,3739.0
8,1712.0
12,1310.0
0,4636.0
1,5666.0
2,5633.0
3,5606.0
4,6094.0
5,5594.0
6,4597.0
8,2192.0
12,2862.0
0,4013.0
1,5885.0
2,6032.0
3,5589.0
4,5745.0
5,4731.0
6,4809.0
8,1986.0
12,1299.0
0,3743.0
1,5118.0
2,5175.0
3,4856.0
4,6252.0
5,4557.0
6,3771.0
8,1956.0
12,1195.0
0,4710.0
1,6505.0
2,6030.0
3,4808.0
4,5411.0
5,5256.0
6,4427.0
8,1811.0
12,1307.0
0,5111.0
1,5522.0
2,5027.0
3,4889.0
4,5897.0
5,4899.0
6,5652.0
8,1688.0
12,1249.0
0,3450.0
1,5617.0
2,4510.0
3,5439.0
4,5290.0
5,4819.0
6,4078.0
8,1795.0
12,1371.0
0,4600.0
1,5898.0
2,5360.0
3,4854.0
4,6960.0
5,4433.0
6,4361.0
8,1759.0
12,1122.0
0,5727.0
1,5901.0
2,5402.0
3,4435.0
4,6028.0
5,4822.0
6,5765.0
8,1761.0
12,1332.0
0,4843.0
1,5969.0
2,5069.0
3,4868.0
4,5772.0
5,4385.0
6,5069.0
8,1711.0
12,1346.0
0,4614.0
1,4904.0
2,4782.0
3,5085.0
4,6058.0
5,4903.0
6,4681.0
8,1839.0
12,1234.0
0,3664.0
1,5216.0
2,5369.0
3,5795.0
4,5544.0
5,4173.0
6,3451.0
8,2769.0
12,1491.0
0,4121.0
1,5374.0
2,4810.0
3,5019.0
4,5527.0
5,4256.0
6,3335.0
8,3525.0
12,3975.0
0,4803.0
1,6021.0
2,5867.0
3,5019.0
4,6074.0
5,4203.0
6,3620.0
8,2863.0
12,1365.0
0,3871.0
1,5800.0
2,5310.0
3,4770.0
4,5685.0
5,5031.0
6,3486.0
8,4823.0
12,1355.0
0,5033.0
1,5452.0
2,5371.0
3,5140.0
4,5958.0
5,5183.0
6,4139.0
8,4493.0
12,1215.0
0,3656.0
1,5259.0
2,5065.0
3,5010.0
4,5851.0
5,5173.0
6,4313.0
8,1825.0
12,1456.0
0,4163.0
1,5779.0
2,4716.0
3,4821.0
4,5900.0
5,5043.0
6,4475.0
8,1745.0
12,1142.0
0,5376.0
1,5844.0
2,5560.0
3,5676.0
4,6357.0
5,5203.0
6,4167.0
8,1661.0
12,1439.0
0,4781.0
1,6445.0
2,5844.0
3,4893.0
4,5871.0
5,4630.0
6,5572.0
8,4621.0
12,1190.0
0,4895.0
1,5576.0
2,6040.0
3,5573.0
4,6724.0
