carries,conquest_epoch
0,2230.0
1,2139.0
2,2854.0
3,2624.0
0,2200.0
1,2367.0
2,2406.0
3,2439.0
0,2154.0
1,2094.0
2,2998.0
3,2748.0
0,2326.0
1,2055.0
2,2212.0
3,2210.0
0,2022.0
1,2053.0
2,2530.0
3,2600.0
0,2183.0
1,2071.0
2,2646.0
3,2318.0
0,2290.0
1,2365.0
2,2723.0
3,2822.0
0,2301.0
1,2142.0
2,3185.0
3,3190.0
0,2452.0
1,2252.0
2,2530.0
3,2530.0
0,2402.0
1,2345.0
2,2662.0
3,2625.0
0,2558.0
1,2754.0
2,2564.0
3,2440.0
0,2505.0
1,2283.0
2,3336.0
3,3052.0
0,2383.0
1,2380.0
2,2495.0
3,2709.0
0,2625.0
1,2184.0
2,2991.0
3,2871.0
0,2598.0
1,2490.0
2,2640.0
3,2689.0
0,2247.0
1,2150.0
2,2470.0
3,2366.0
0,2348.0
1,2585.0
2,2627.0
3,2658.0
0,2076.0
1,2106.0
2,2402.0
3,2498.0
0,2472.0
1,2005.0
2,2512.0
3,2586.0
0,1881.0
1,2430.0
2,3124.0
3,3038.0
0,2246.0
1,2176.0
2,2844.0
3,2718.0
0,2513.0
1,2502.0
2,2744.0
3,2581.0
0,3057.0
1,2621.0
2,3122.0
3,2798.0
0,2530.0
1,2291.0
2,2838.0
3,2800.0
0,1665.0
1,2232.0
2,2272.0
3,2166.0
0,2354.0
1,2264.0
2,2819.0
3,2732.0
0,2594.0
1,2561.0
2,2582.0
3,2696.0
0,2452.0
1,2600.0
2,2877.0
3,2964.0
0,2294.0
1,2151.0
2,2952.0
3,2968.0
0,2783.0
1,2770.0
2,2963.0
3,2939.0
0,2574.0
1,2174.0
2,2861.0
3,2589.0
0,2388.0
1,2451.0
2,3109.0
3,2972.0
0,1860.0
1,1953.0
2,3068.0
3,2874.0
0,2023.0
1,2142.0
2,2221.0
3,2159.0
0,2098.0
1,2567.0
2,2973.0
3,2997.0
0,2457.0
1,2331.0
2,2528.0
3,2257.0
0,2143.0
1,2195.0
2,2452.0
3,2365.0
0,2472.0
1,1931.0
2,2997.0
3,2904.0
0,1901.0
1,2293.0
2,2953.0
3,2812.0
0,2321.0
1,2643.0
2,2333.0
3,2333.0
0,3070.0
1,2698.0
2,2813.0
3,2744.0
0,2781.0
1,2367.0
2,2463.0
3,2833.0
0,2514.0
1,2057.0
2,2957.0
3,2817.0
0,2181.0
1,2594.0
2,2337.0
3,2367.0
0,2660.0
1,2544.0
2,2984.0
3,3054.0
0,2574.0
1,2129.0
2,3041.0
3,3002.0
0,2372.0
1,2142.0
2,2714.0
3,2532.0
0,2282.0
1,2513.0
2,2513.0
3,2348.0
0,2384.0
1,2210.0
2,2434.0
3,2342.0
0,2514.0
1,2068.0
2,2846.0
3,2719.0
0,2615.0
1,2529.0
2,2760.0
3,2627.0
0,2220.0
1,2679.0
2,2436.0
3,2533.0
0,3014.0
1,2577.0
2,2682.0
3,2999.0
0,2624.0
1,2630.0
2,2608.0
3,2712.0
0,2683.0
1,2503.0
2,2579.0
3,2608.0
0,2679.0
1,2264.0
2,2543.0
3,2694.0
0,2101.0
1,2184.0
2,2827.0
3,2619.0
0,2282.0
1,2131.0
2,2433.0
3,2486.0
0,2630.0
1,2592.0
2,2781.0
3,2780.0
0,2482.0
1,2273.0
2,2624.0
3,2488.0
0,2184.0
1,2354.0
2,2965.0
3,2910.0
0,2497.0
1,2393.0
2,2661.0
3,2650.0
0,2387.0
1,2373.0
2,3026.0
3,2846.0
0,2267.0
1,2124.0
2,2429.0
3,2426.0
0,2361.0
1,2042.0
2,2459.0
3,2511.0
0,2543.0
1,2413.0
2,2562.0
3,2564.0
0,1837.0
1,2034.0
2,3381.0
3,3215.0
0,1977.0
